Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Both Sexes
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Acute Myeloid Leukemia","Age 40","Age <br/>35",
"Acute Myeloid Leukemia","Age 40","Age <br/>40",
"Acute Myeloid Leukemia","Age 40","Age <br/>45",0.010
"Acute Myeloid Leukemia","Age 40","Age <br/>50",0.023
"Acute Myeloid Leukemia","Age 40","Age <br/>55",0.040
"Acute Myeloid Leukemia","Age 40","Age <br/>60",0.064
"Acute Myeloid Leukemia","Age 40","Age <br/>65",0.099
"Acute Myeloid Leukemia","Age 40","Age <br/>70",0.150
"Acute Myeloid Leukemia","Age 40","Age <br/>75",0.220
"Acute Myeloid Leukemia","Age 40","Age <br/>80",0.297
"Acute Myeloid Leukemia","Age 40","Age <br/>85",0.371
"Acute Myeloid Leukemia","Age 40","Age <br/>90",0.423
"Acute Myeloid Leukemia","Age 40","Age <br/>95",0.446
"Acute Myeloid Leukemia","Age 40","Age <br/>95+",0.455
"Acute Myeloid Leukemia","Age 45","Age <br/>5",
"Acute Myeloid Leukemia","Age 45","Age <br/>10",
"Acute Myeloid Leukemia","Age 45","Age <br/>15",
"Acute Myeloid Leukemia","Age 45","Age <br/>20",
"Acute Myeloid Leukemia","Age 45","Age <br/>25",
"Acute Myeloid Leukemia","Age 45","Age <br/>30",
"Acute Myeloid Leukemia","Age 45","Age <br/>35",
"Acute Myeloid Leukemia","Age 45","Age <br/>40",
"Acute Myeloid Leukemia","Age 45","Age <br/>45",
"Acute Myeloid Leukemia","Age 45","Age <br/>50",0.013
"Acute Myeloid Leukemia","Age 45","Age <br/>55",0.030
"Acute Myeloid Leukemia","Age 45","Age <br/>60",0.054
"Acute Myeloid Leukemia","Age 45","Age <br/>65",0.090
"Acute Myeloid Leukemia","Age 45","Age <br/>70",0.141
"Acute Myeloid Leukemia","Age 45","Age <br/>75",0.212
"Acute Myeloid Leukemia","Age 45","Age <br/>80",0.290
"Acute Myeloid Leukemia","Age 45","Age <br/>85",0.364
"Acute Myeloid Leukemia","Age 45","Age <br/>90",0.417
"Acute Myeloid Leukemia","Age 45","Age <br/>95",0.440
"Acute Myeloid Leukemia","Age 45","Age <br/>95+",0.449
"Acute Myeloid Leukemia","Age 50","Age <br/>5",
"Acute Myeloid Leukemia","Age 50","Age <br/>10",
"Acute Myeloid Leukemia","Age 50","Age <br/>15",
"Acute Myeloid Leukemia","Age 50","Age <br/>20",
"Acute Myeloid Leukemia","Age 50","Age <br/>25",
"Acute Myeloid Leukemia","Age 50","Age <br/>30",
"Acute Myeloid Leukemia","Age 50","Age <br/>35",
"Acute Myeloid Leukemia","Age 50","Age <br/>40",
"Acute Myeloid Leukemia","Age 50","Age <br/>45",
"Acute Myeloid Leukemia","Age 50","Age <br/>50",
"Acute Myeloid Leukemia","Age 50","Age <br/>55",0.018
"Acute Myeloid Leukemia","Age 50","Age <br/>60",0.042
"Acute Myeloid Leukemia","Age 50","Age <br/>65",0.078
"Acute Myeloid Leukemia","Age 50","Age <br/>70",0.130
"Acute Myeloid Leukemia","Age 50","Age <br/>75",0.202
"Acute Myeloid Leukemia","Age 50","Age <br/>80",0.281
"Acute Myeloid Leukemia","Age 50","Age <br/>85",0.357
"Acute Myeloid Leukemia","Age 50","Age <br/>90",0.410
"Acute Myeloid Leukemia","Age 50","Age <br/>95",0.434
"Acute Myeloid Leukemia","Age 50","Age <br/>95+",0.443
"Acute Myeloid Leukemia","Age 55","Age <br/>5",
"Acute Myeloid Leukemia","Age 55","Age <br/>10",
"Acute Myeloid Leukemia","Age 55","Age <br/>15",
"Acute Myeloid Leukemia","Age 55","Age <br/>20",
"Acute Myeloid Leukemia","Age 55","Age <br/>25",
"Acute Myeloid Leukemia","Age 55","Age <br/>30",
"Acute Myeloid Leukemia","Age 55","Age <br/>35",
"Acute Myeloid Leukemia","Age 55","Age <br/>40",
"Acute Myeloid Leukemia","Age 55","Age <br/>45",
"Acute Myeloid Leukemia","Age 55","Age <br/>50",
"Acute Myeloid Leukemia","Age 55","Age <br/>55",
"Acute Myeloid Leukemia","Age 55","Age <br/>60",0.025
"Acute Myeloid Leukemia","Age 55","Age <br/>65",0.062
"Acute Myeloid Leukemia","Age 55","Age <br/>70",0.115
"Acute Myeloid Leukemia","Age 55","Age <br/>75",0.189
"Acute Myeloid Leukemia","Age 55","Age <br/>80",0.270
"Acute Myeloid Leukemia","Age 55","Age <br/>85",0.347
"Acute Myeloid Leukemia","Age 55","Age <br/>90",0.401
"Acute Myeloid Leukemia","Age 55","Age <br/>95",0.426
"Acute Myeloid Leukemia","Age 55","Age <br/>95+",0.435
"Acute Myeloid Leukemia","Age 60","Age <br/>5",
"Acute Myeloid Leukemia","Age 60","Age <br/>10",
"Acute Myeloid Leukemia","Age 60","Age <br/>15",
"Acute Myeloid Leukemia","Age 60","Age <br/>20",
"Acute Myeloid Leukemia","Age 60","Age <br/>25",
"Acute Myeloid Leukemia","Age 60","Age <br/>30",
"Acute Myeloid Leukemia","Age 60","Age <br/>35",
"Acute Myeloid Leukemia","Age 60","Age <br/>40",
"Acute Myeloid Leukemia","Age 60","Age <br/>45",
"Acute Myeloid Leukemia","Age 60","Age <br/>50",
"Acute Myeloid Leukemia","Age 60","Age <br/>55",
"Acute Myeloid Leukemia","Age 60","Age <br/>60",
"Acute Myeloid Leukemia","Age 60","Age <br/>65",0.038
"Acute Myeloid Leukemia","Age 60","Age <br/>70",0.093
"Acute Myeloid Leukemia","Age 60","Age <br/>75",0.170
"Acute Myeloid Leukemia","Age 60","Age <br/>80",0.253
"Acute Myeloid Leukemia","Age 60","Age <br/>85",0.334
"Acute Myeloid Leukemia","Age 60","Age <br/>90",0.390
"Acute Myeloid Leukemia","Age 60","Age <br/>95",0.415
"Acute Myeloid Leukemia","Age 60","Age <br/>95+",0.425
"Acute Myeloid Leukemia","Age 65","Age <br/>5",
"Acute Myeloid Leukemia","Age 65","Age <br/>10",
"Acute Myeloid Leukemia","Age 65","Age <br/>15",
"Acute Myeloid Leukemia","Age 65","Age <br/>20",
"Acute Myeloid Leukemia","Age 65","Age <br/>25",
"Acute Myeloid Leukemia","Age 65","Age <br/>30",
"Acute Myeloid Leukemia","Age 65","Age <br/>35",
"Acute Myeloid Leukemia","Age 65","Age <br/>40",
"Acute Myeloid Leukemia","Age 65","Age <br/>45",
"Acute Myeloid Leukemia","Age 65","Age <br/>50",
"Acute Myeloid Leukemia","Age 65","Age <br/>55",
"Acute Myeloid Leukemia","Age 65","Age <br/>60",
"Acute Myeloid Leukemia","Age 65","Age <br/>65",
"Acute Myeloid Leukemia","Age 65","Age <br/>70",0.058
"Acute Myeloid Leukemia","Age 65","Age <br/>75",0.138
"Acute Myeloid Leukemia","Age 65","Age <br/>80",0.226
"Acute Myeloid Leukemia","Age 65","Age <br/>85",0.311
"Acute Myeloid Leukemia","Age 65","Age <br/>90",0.369
"Acute Myeloid Leukemia","Age 65","Age <br/>95",0.396
"Acute Myeloid Leukemia","Age 65","Age <br/>95+",0.406
"Acute Myeloid Leukemia","Age 70","Age <br/>5",
"Acute Myeloid Leukemia","Age 70","Age <br/>10",
"Acute Myeloid Leukemia","Age 70","Age <br/>15",
"Acute Myeloid Leukemia","Age 70","Age <br/>20",
"Acute Myeloid Leukemia","Age 70","Age <br/>25",
"Acute Myeloid Leukemia","Age 70","Age <br/>30",
"Acute Myeloid Leukemia","Age 70","Age <br/>35",
"Acute Myeloid Leukemia","Age 70","Age <br/>40",
"Acute Myeloid Leukemia","Age 70","Age <br/>45",
"Acute Myeloid Leukemia","Age 70","Age <br/>50",
"Acute Myeloid Leukemia","Age 70","Age <br/>55",
"Acute Myeloid Leukemia","Age 70","Age <br/>60",
"Acute Myeloid Leukemia","Age 70","Age <br/>65",
"Acute Myeloid Leukemia","Age 70","Age <br/>70",
"Acute Myeloid Leukemia","Age 70","Age <br/>75",0.087
"Acute Myeloid Leukemia","Age 70","Age <br/>80",0.181
"Acute Myeloid Leukemia","Age 70","Age <br/>85",0.272
"Acute Myeloid Leukemia","Age 70","Age <br/>90",0.335
"Acute Myeloid Leukemia","Age 70","Age <br/>95",0.364
"Acute Myeloid Leukemia","Age 70","Age <br/>95+",0.374
"Acute Myeloid Leukemia","Age 75","Age <br/>5",
"Acute Myeloid Leukemia","Age 75","Age <br/>10",
"Acute Myeloid Leukemia","Age 75","Age <br/>15",
"Acute Myeloid Leukemia","Age 75","Age <br/>20",
"Acute Myeloid Leukemia","Age 75","Age <br/>25",
"Acute Myeloid Leukemia","Age 75","Age <br/>30",
"Acute Myeloid Leukemia","Age 75","Age <br/>35",
"Acute Myeloid Leukemia","Age 75","Age <br/>40",
"Acute Myeloid Leukemia","Age 75","Age <br/>45",
"Acute Myeloid Leukemia","Age 75","Age <br/>50",
"Acute Myeloid Leukemia","Age 75","Age <br/>55",
"Acute Myeloid Leukemia","Age 75","Age <br/>60",
"Acute Myeloid Leukemia","Age 75","Age <br/>65",
"Acute Myeloid Leukemia","Age 75","Age <br/>70",
"Acute Myeloid Leukemia","Age 75","Age <br/>75",
"Acute Myeloid Leukemia","Age 75","Age <br/>80",0.105
"Acute Myeloid Leukemia","Age 75","Age <br/>85",0.207
"Acute Myeloid Leukemia","Age 75","Age <br/>90",0.277
"Acute Myeloid Leukemia","Age 75","Age <br/>95",0.309
"Acute Myeloid Leukemia","Age 75","Age <br/>95+",0.321
"Acute Myeloid Leukemia","Age 80","Age <br/>5",
"Acute Myeloid Leukemia","Age 80","Age <br/>10",
"Acute Myeloid Leukemia","Age 80","Age <br/>15",
"Acute Myeloid Leukemia","Age 80","Age <br/>20",
"Acute Myeloid Leukemia","Age 80","Age <br/>25",
"Acute Myeloid Leukemia","Age 80","Age <br/>30",
"Acute Myeloid Leukemia","Age 80","Age <br/>35",
"Acute Myeloid Leukemia","Age 80","Age <br/>40",
"Acute Myeloid Leukemia","Age 80","Age <br/>45",
"Acute Myeloid Leukemia","Age 80","Age <br/>50",
"Acute Myeloid Leukemia","Age 80","Age <br/>55",
"Acute Myeloid Leukemia","Age 80","Age <br/>60",
"Acute Myeloid Leukemia","Age 80","Age <br/>65",
"Acute Myeloid Leukemia","Age 80","Age <br/>70",
"Acute Myeloid Leukemia","Age 80","Age <br/>75",
"Acute Myeloid Leukemia","Age 80","Age <br/>80",
"Acute Myeloid Leukemia","Age 80","Age <br/>85",0.121
"Acute Myeloid Leukemia","Age 80","Age <br/>90",0.205
"Acute Myeloid Leukemia","Age 80","Age <br/>95",0.244
"Acute Myeloid Leukemia","Age 80","Age <br/>95+",0.258
"Acute Myeloid Leukemia","Age 85","Age <br/>5",
"Acute Myeloid Leukemia","Age 85","Age <br/>10",
"Acute Myeloid Leukemia","Age 85","Age <br/>15",
"Acute Myeloid Leukemia","Age 85","Age <br/>20",
"Acute Myeloid Leukemia","Age 85","Age <br/>25",
"Acute Myeloid Leukemia","Age 85","Age <br/>30",
"Acute Myeloid Leukemia","Age 85","Age <br/>35",
"Acute Myeloid Leukemia","Age 85","Age <br/>40",
"Acute Myeloid Leukemia","Age 85","Age <br/>45",
"Acute Myeloid Leukemia","Age 85","Age <br/>50",
"Acute Myeloid Leukemia","Age 85","Age <br/>55",
"Acute Myeloid Leukemia","Age 85","Age <br/>60",
"Acute Myeloid Leukemia","Age 85","Age <br/>65",
"Acute Myeloid Leukemia","Age 85","Age <br/>70",
"Acute Myeloid Leukemia","Age 85","Age <br/>75",
"Acute Myeloid Leukemia","Age 85","Age <br/>80",
"Acute Myeloid Leukemia","Age 85","Age <br/>85",
"Acute Myeloid Leukemia","Age 85","Age <br/>90",0.114
"Acute Myeloid Leukemia","Age 85","Age <br/>95",0.165
"Acute Myeloid Leukemia","Age 85","Age <br/>95+",0.185
"Acute Myeloid Leukemia","Age 90","Age <br/>5",
"Acute Myeloid Leukemia","Age 90","Age <br/>10",
"Acute Myeloid Leukemia","Age 90","Age <br/>15",
"Acute Myeloid Leukemia","Age 90","Age <br/>20",
"Acute Myeloid Leukemia","Age 90","Age <br/>25",
"Acute Myeloid Leukemia","Age 90","Age <br/>30",
"Acute Myeloid Leukemia","Age 90","Age <br/>35",
"Acute Myeloid Leukemia","Age 90","Age <br/>40",
"Acute Myeloid Leukemia","Age 90","Age <br/>45",
"Acute Myeloid Leukemia","Age 90","Age <br/>50",
"Acute Myeloid Leukemia","Age 90","Age <br/>55",
"Acute Myeloid Leukemia","Age 90","Age <br/>60",
"Acute Myeloid Leukemia","Age 90","Age <br/>65",
"Acute Myeloid Leukemia","Age 90","Age <br/>70",
"Acute Myeloid Leukemia","Age 90","Age <br/>75",
"Acute Myeloid Leukemia","Age 90","Age <br/>80",
"Acute Myeloid Leukemia","Age 90","Age <br/>85",
"Acute Myeloid Leukemia","Age 90","Age <br/>90",
"Acute Myeloid Leukemia","Age 90","Age <br/>95",0.086
"Acute Myeloid Leukemia","Age 90","Age <br/>95+",0.118
"Acute Myeloid Leukemia","Age 95","Age <br/>5",
"Acute Myeloid Leukemia","Age 95","Age <br/>10",
"Acute Myeloid Leukemia","Age 95","Age <br/>15",
"Acute Myeloid Leukemia","Age 95","Age <br/>20",
"Acute Myeloid Leukemia","Age 95","Age <br/>25",
"Acute Myeloid Leukemia","Age 95","Age <br/>30",
"Acute Myeloid Leukemia","Age 95","Age <br/>35",
"Acute Myeloid Leukemia","Age 95","Age <br/>40",
"Acute Myeloid Leukemia","Age 95","Age <br/>45",
"Acute Myeloid Leukemia","Age 95","Age <br/>50",
"Acute Myeloid Leukemia","Age 95","Age <br/>55",
"Acute Myeloid Leukemia","Age 95","Age <br/>60",
"Acute Myeloid Leukemia","Age 95","Age <br/>65",
"Acute Myeloid Leukemia","Age 95","Age <br/>70",
"Acute Myeloid Leukemia","Age 95","Age <br/>75",
"Acute Myeloid Leukemia","Age 95","Age <br/>80",
"Acute Myeloid Leukemia","Age 95","Age <br/>85",
"Acute Myeloid Leukemia","Age 95","Age <br/>90",
"Acute Myeloid Leukemia","Age 95","Age <br/>95",
"Acute Myeloid Leukemia","Age 95","Age <br/>95+",0.073


"Cancer sites include invasive cases only unless otherwise noted."

"Source: Underlying Incidence data are from the SEER 18 areas (San Francisco, Connecticut, Detroit, Hawaii, Iowa, New Mexico, Seattle, Utah, Atlanta, San Jose-Monterey, Los Angeles, Alaska Native Registry, Rural Georgia, California excluding SF/SJM/LA, Kentucky, Louisiana, New Jersey and Georgia excluding ATL/RG).\
Rates are calculated using DevCan Version 6.7, April 2018, National Cancer Institute (http://surveillance.cancer.gov/devcan/)."

